start,end,text,end_sec,page
00:00.0,00:10.0,꼼꼼한 딥러닝 논문 리뷰와 코드 실습. 이번 시간에 리뷰할 논문은 현대 딥러닝 기반의 자연어처리 기술의 핵심 아키텍처가 되고 있는 트랜스포머입니다.,9.98,1
00:10.3,00:24.4,트랜스포머 논문의 원래 제목은 Attention is all you need 입니다. 논문의 제목에서 알 수 있듯이 트랜스포머라는 아키텍처에는 이 Attention이라고 하는 것이 가장 메인 아이디어로서 사용이 된다는 걸 알 수 있습니다.,24.42,1
00:24.4,00:36.6,실제로 트랜스포머는 Attention이라는 메커니즘을 전적으로 활용하는 아키텍처입니다. 트랜스포머가 나오게 된 계기를 이해하기 위해서 딥러닝 기반의 기계 번역 발전 과정에 대해 확인해 보겠습니다.,36.58,1
00:37.0,00:44.0,2021년 기준으로 최신 자연어처리 쪽 고성능 모델들은 이런 트랜스포머 아키텍처를 기반으로 하고 있습니다.,44.02,1
00:44.3,00:52.3,최근까지 화제가 되었던 GPT와 BERT는 모두 이러한 트랜스포머의 아키텍처를 적절히 활용하여 좋은 성능을 내고 있습니다.,52.34,1
00:52.3,01:01.0,대표적으로 GPT는 트랜스포머의 디코더 아키텍처를 활용했고 BERT는 트랜스포머의 인코더 아키텍처를 활용했다는 점이 특징입니다.,61.02,1
01:01.2,01:06.5,자연어처리 태스크 중에서 가장 대표적이면서 중요한 태스크 중 하나는 기계 번역입니다.,66.54,1
01:06.9,01:16.8,실제로 기계 번역 기술의 발전 과정을 확인해 보시면 1986년도 즈음에 RNN이 제한되었고 그로부터 약 10년 정도가 지난 뒤에 LSTM이 등장하였습니다.,76.84,1
01:17.3,01:21.2,이러한 LSTM을 활용하면 다양한 시퀀스 정보를 모델링 할 수 있는데요.,81.24,1
01:21.2,01:25.0,"대표적으로 주가 예측, 주기함수 예측 등이 가능합니다.",85.02,1
01:25.2,01:31.5,이러한 LSTM을 활용해서 2014년도에는 딥러닝 기반 기술로 시퀀스 투 시퀀스가 등장하였습니다.,91.54,1
01:31.9,01:41.9,시퀀스 투 시퀀스는 현대의 딥러닝 기술들이 다시 빠르게 나오기 시작한 시점인 2014년도에 이러한 LSTM을 활용해서 고정된 크기의 컨텍스트,101.88,1
01:41.9,01:50.0,벡터를 사용하는 방식으로 번역을 수행하는 방법을 제안하였습니다. 다만 이러한 시퀀스 투 시퀀스 모델이 나왔을 때의 시점만 하더라도,109.98,1
01:50.0,02:00.9,고정된 크기의 컨텍스트 벡터를 쓰고 있기 때문에 소스 문장을 전부 고정된 크기의 한 벡터에다가 압축을 할 필요가 있다는 점에서 성능적인 한계가 존재했습니다.,120.9,1
02:01.1,02:09.7,이후에 어텐션 메커니즘이 제한된 논문이 나오면서 이러한 시퀀스 투 시퀀스 모델에 어텐션 기법을 적용하여 성능을 더 끌어올릴 수가 있었고요.,129.7,1
02:09.8,02:20.0,"이제 그 이후에 트랜스포머 논문에서는 그냥 어뢰넨 자체를 사용할 필요가 없다는 아이디어로 오직 어텐션 기법에 의존하는 아키텍처를 설계했더니 성능이 훨씬 더 좋게 되었고,",139.96,1
02:20.0,02:21.3,성능이 훨씬 좋아지는 것을 보여주었습니다.,141.32,1
02:21.5,02:32.6,즉 이 트랜스포머를 기점으로 해서 더 이상 다양한 자연어 처리 태스크에 대해서 어뢰넨 기반의 아키텍처를 사용하지 않고 어텐션 메커니즘을 더욱 더 많이 사용하게 되었습니다.,152.64,1
02:32.9,02:42.1,그래서 어텐션 메커니즘이 등장한 이후로부터는 입력 시퀀스 전체에서 정보를 추출하는 방향으로 연구 방향이 발전되어 왔다고 할 수 있습니다.,162.12,1
02:42.3,02:47.5,"물론 이후에 나온 논문들 중에서도 어뢰넨을 활용하는 아키텍처도 많이 존재하지만,",167.5,1
02:47.5,02:56.4,전반적인 추세 자체는 어텐션 기법을 더욱 더 활용하는 이런 트랜스포머의 아키텍처를 따르는 방식으로 다양한 고성능 모델들이 제한되고 있습니다.,176.42,1
02:56.6,03:01.9,그렇다면 기존에 제한되었던 시퀀스 투 시퀀스 모델에는 어떤 한계점이 존재할까요?,181.9,2
03:02.0,03:08.9,"기존 시퀀스 투 시퀀스 모델의 한계점이라고 한다면, 이 컨텍스트 벡터 V에 소스 문장의 정보를 압축한다는 점입니다.",188.94,2
03:09.2,03:13.9,이때 병목 현상이 발생할 수 있기 때문에 성능 하락의 원인이 될 수 있는데요.,193.88,2
03:14.2,03:17.5,"현재 예시를 확인해 보시면 대표적인 시퀀스 투 시퀀스 모델은,",197.48,2
03:17.5,03:19.6,이 시퀀스 투 시퀀스 모델을 활용한 기계 번역 예시라고 할 수 있습니다.,199.62,2
03:19.8,03:25.4,"왼쪽에 있는 독일어 문장, 즉 각각의 단어들로 구성된 하나의 시퀀스가 들어왔을 때,",205.44,2
