start,end,text,end_sec,page
00:00.000,00:09.980,꼼꼼한 딥러닝 논문 리뷰와 코드 실습. 이번 시간에 리뷰할 논문은 현대 딥러닝 기반의 자연어처리 기술의 핵심 아키텍처가 되고 있는 트랜스포머입니다.,9.98,0
00:10.300,00:24.420,트랜스포머 논문의 원래 제목은 Attention is all you need 입니다. 논문의 제목에서 알 수 있듯이 트랜스포머라는 아키텍처에는 이 Attention이라고 하는 것이 가장 메인 아이디어로서 사용이 된다는 걸 알 수 있습니다.,24.42,0
00:24.420,00:36.580,실제로 트랜스포머는 Attention이라는 메커니즘을 전적으로 활용하는 아키텍처입니다. 트랜스포머가 나오게 된 계기를 이해하기 위해서 딥러닝 기반의 기계 번역 발전 과정에 대해 확인해 보겠습니다.,36.58,1
00:36.960,00:44.020,2021년 기준으로 최신 자연어처리 쪽 고성능 모델들은 이런 트랜스포머 아키텍처를 기반으로 하고 있습니다.,44.02,1
00:44.280,00:52.340,최근까지 화제가 되었던 GPT와 BERT는 모두 이러한 트랜스포머의 아키텍처를 적절히 활용하여 좋은 성능을 내고 있습니다.,52.34,1
00:52.340,01:01.020,대표적으로 GPT는 트랜스포머의 디코더 아키텍처를 활용했고 BERT는 트랜스포머의 인코더 아키텍처를 활용했다는 점이 특징입니다.,61.02,1
01:01.220,01:06.540,자연어처리 태스크 중에서 가장 대표적이면서 중요한 태스크 중 하나는 기계 번역입니다.,66.54,1
01:06.880,01:16.840,실제로 기계 번역 기술의 발전 과정을 확인해 보시면 1986년도 즈음에 RNN이 제한되었고 그로부터 약 10년 정도가 지난 뒤에 LSTM이 등장하였습니다.,76.84,1
01:17.260,01:21.240,이러한 LSTM을 활용하면 다양한 시퀀스 정보를 모델링 할 수 있는데요.,81.24,1
01:21.240,01:25.020,"대표적으로 주가 예측, 주기함수 예측 등이 가능합니다.",85.02,1
01:25.240,01:31.540,이러한 LSTM을 활용해서 2014년도에는 딥러닝 기반 기술로 시퀀스 투 시퀀스가 등장하였습니다.,91.54,1
01:31.940,01:41.880,시퀀스 투 시퀀스는 현대의 딥러닝 기술들이 다시 빠르게 나오기 시작한 시점인 2014년도에 이러한 LSTM을 활용해서 고정된 크기의 컨텍스트,101.88,1
01:41.880,01:49.980,벡터를 사용하는 방식으로 번역을 수행하는 방법을 제안하였습니다. 다만 이러한 시퀀스 투 시퀀스 모델이 나왔을 때의 시점만 하더라도,109.98,1
01:49.980,02:00.900,고정된 크기의 컨텍스트 벡터를 쓰고 있기 때문에 소스 문장을 전부 고정된 크기의 한 벡터에다가 압축을 할 필요가 있다는 점에서 성능적인 한계가 존재했습니다.,120.9,1
02:01.120,02:09.700,이후에 어텐션 메커니즘이 제한된 논문이 나오면서 이러한 시퀀스 투 시퀀스 모델에 어텐션 기법을 적용하여 성능을 더 끌어올릴 수가 있었고요.,129.7,1
02:09.820,02:19.960,"이제 그 이후에 트랜스포머 논문에서는 그냥 어뢰넨 자체를 사용할 필요가 없다는 아이디어로 오직 어텐션 기법에 의존하는 아키텍처를 설계했더니 성능이 훨씬 더 좋게 되었고,",139.96,1
02:19.960,02:21.320,성능이 훨씬 좋아지는 것을 보여주었습니다.,141.32,1
02:21.540,02:32.640,즉 이 트랜스포머를 기점으로 해서 더 이상 다양한 자연어 처리 태스크에 대해서 어뢰넨 기반의 아키텍처를 사용하지 않고 어텐션 메커니즘을 더욱 더 많이 사용하게 되었습니다.,152.64,1
02:32.860,02:42.120,그래서 어텐션 메커니즘이 등장한 이후로부터는 입력 시퀀스 전체에서 정보를 추출하는 방향으로 연구 방향이 발전되어 왔다고 할 수 있습니다.,162.12,1
02:42.280,02:47.500,"물론 이후에 나온 논문들 중에서도 어뢰넨을 활용하는 아키텍처도 많이 존재하지만,",167.5,1
02:47.500,02:56.420,전반적인 추세 자체는 어텐션 기법을 더욱 더 활용하는 이런 트랜스포머의 아키텍처를 따르는 방식으로 다양한 고성능 모델들이 제한되고 있습니다.,176.42,1
02:56.640,03:01.900,그렇다면 기존에 제한되었던 시퀀스 투 시퀀스 모델에는 어떤 한계점이 존재할까요?,181.9,2
03:02.000,03:08.940,"기존 시퀀스 투 시퀀스 모델의 한계점이라고 한다면, 이 컨텍스트 벡터 V에 소스 문장의 정보를 압축한다는 점입니다.",188.94,2
03:09.220,03:13.880,이때 병목 현상이 발생할 수 있기 때문에 성능 하락의 원인이 될 수 있는데요.,193.88,2
03:14.160,03:17.480,"현재 예시를 확인해 보시면 대표적인 시퀀스 투 시퀀스 모델은,",197.48,2
03:17.480,03:19.620,이 시퀀스 투 시퀀스 모델을 활용한 기계 번역 예시라고 할 수 있습니다.,199.62,2
03:19.760,03:25.440,"왼쪽에 있는 독일어 문장, 즉 각각의 단어들로 구성된 하나의 시퀀스가 들어왔을 때,",205.44,2
03:25.500,03:30.200,"이렇게 중간에서 하나의 고정된 크기의 컨텍스트 벡터로 바꾼 뒤에,",210.2,2
03:30.320,03:35.100,다시 이러한 컨텍스트 벡터로부터 출력 문장을 만들어내는 것을 확인할 수 있습니다.,215.1,2
03:35.300,03:42.540,"즉, 한쪽의 시퀀스에서부터 다른 한쪽의 시퀀스를 만든다는 의미에서 시퀀스 투 시퀀스 모델이라고 부를 수 있습니다.",222.54,2
03:42.780,03:46.460,결과적으로 이렇게 영어 출력 문장이 나오는 걸 확인할 수 있고요.,226.46,2
03:46.460,03:50.440,"다만 이때, 이러한 시퀀스 투 시퀀스 아키텍처를 확인해 보시면,",230.44,2
03:50.700,03:55.940,매번 단어가 입력될 때마다 히든 스테이트 값을 갱신하는 걸 확인할 수 있습니다.,235.94,2
03:56.140,03:58.160,"이런 식으로 단어가 입력될 때마다,",238.16,2
03:58.220,04:03.600,"이전까지 입력되었던 단어들에 대한 정보를 포함하고 있는 히든 스테이트 값을 받아서,",243.6,2
04:03.740,04:06.840,매번 이런 식으로 히든 스테이트 값을 새롭게 갱신합니다.,246.84,2
04:07.080,04:13.600,"즉, 이런 식으로 각각의 단어가 차례대로 순서에 맞게 입력될 때마다 히든 스테이트 값이 갱신되어,",253.6,2
04:13.620,04:16.440,"이러한 히든 스테이트 값은 이전까지 입력되었고,",256.44,2
04:16.460,04:19.160,"입력되었던 단어들에 대한 정보를 갖고 있기 때문에,",259.16,2
04:19.260,04:21.440,"이렇게 마지막 단어가 들어왔을 때,",261.44,2
04:21.540,04:28.820,그때의 히든 스테이트 값은 소스 문장 전체를 대표하는 하나의 컨텍스트 벡터로써 사용할 수가 있다는 것입니다.,268.82,2
04:28.960,04:34.600,"그렇기 때문에, 이렇게 마지막 단어가 들어왔을 때의 히든 스테이트 값을 하나의 컨텍스트 벡터로써,",274.6,2
04:34.740,04:41.880,이 컨텍스트 벡터 안에는 앞에 등장했던 소스 문장에 대한 문맥적인 정보를 담고 있다고 가정하는 것입니다.,281.88,2
04:42.100,04:45.220,"그렇기 때문에, 이러한 컨텍스트 벡터로부터 출발해서,",285.22,2
04:45.220,04:50.000,"이렇게 출력을 수행하는 디코더 파트에서는 매번 출력 단어가 들어올 때마다,",290.0,2
04:50.100,04:55.960,이러한 컨텍스트 벡터로부터 출발해서 마찬가지로 히든 스테이트를 만들어서 매번 출력을 내보냅니다.,295.96,2
04:56.080,05:00.800,"이렇게 그 다음 단계에서는 이전에 출력했던 단어가 다시 입력으로 들어와서,",300.8,2
05:00.860,05:06.900,"반복적으로 이전까지 출력했던 단어에 대한 정보를 가지고 있는 히든 스테이트와 같이 입력을 받아,",306.9,2
05:07.040,05:09.780,새롭게 히든 스테이트를 갱신하는 걸 확인할 수 있습니다.,309.78,2
05:09.980,05:14.300,"이런 식으로 디코더 파트에서는 매번 히든 스테이트 값을 갱신하면서,",314.3,2
05:14.540,05:15.020,"이렇게,",315.02,2
05:15.020,05:19.880,히든 스테이트 값으로부터 출력 값이 end of sequence가 나올 때까지 반복합니다.,319.88,2
05:20.080,05:24.080,"그래서 end of sequence가 나왔을 때 출력 문장 생성을 마치게 되고요,",324.08,2
05:24.200,05:28.060,이렇게 출력된 정보인 good evening이 나오는 걸 확인할 수 있습니다.,328.06,2
05:28.280,05:32.600,이게 가장 기본적인 형태의 시퀀스 to 시퀀스 모델의 동작 원리입니다.,332.6,2
05:32.840,05:34.100,"다만 확인해 보시면 이렇게,",334.1,2
05:34.300,05:38.420,"소스 문장을 대표하는 하나의 컨텍스트 벡터를 만들어야 한다는 점에서,",338.42,2
05:38.560,05:42.540,"이렇게 고정된 크기의 컨텍스트 벡터에 정보를 압축하려고 하면,",342.54,2
05:42.780,05:44.760,"이러한 입력 문장은 어떨 때는,",344.76,2
05:45.020,05:45.520,"짧기도 하고,",345.52,2
05:45.600,05:47.340,"어떨 때는 길기도 하기 때문에,",347.34,2
05:47.500,05:49.400,"그러한 다양한 경우의 수에 대해서,",349.4,2
05:49.680,05:53.320,"항상 소스 문장의 정보를 고정된 크기로 가지고 있는 것은,",353.32,2
05:53.440,05:56.720,전체 성능에서 병목 현상의 원인이 될 수 있습니다.,356.72,2
05:56.920,06:00.400,"그래서 이러한 문제를 조금이나마 완화하기 위한 아이디어로,",360.4,3
06:00.480,06:06.400,"이 고정된 크기의 컨텍스트 벡터를 매번 이 디코더의 RNN 셀에서 참고하도록 만들어서,",366.4,3
06:06.480,06:08.240,조금 더 성능을 개선할 수 있습니다.,368.24,3
06:08.460,06:09.360,"이렇게 하게 되면,",369.36,3
06:09.520,06:14.320,"이 컨텍스트 벡터에 대한 정보가 이 디코더 파트의 RNN 셀을 거침에 따라서,",374.32,3
06:15.020,06:17.800,"정보가 손실되는 정도를 더 줄일 수 있기 때문에,",377.8,3
06:18.420,06:20.260,"출력되는 문장이 길어진다고 하더라도,",380.26,3
06:20.820,06:25.780,"각각의 출력되는 단어에 이러한 컨텍스트 벡터에 대한 정보를 다시 한번 넣어줄 수 있어서,",385.78,3
06:25.960,06:28.740,성능이 기존보다 조금 더 향상될 순 있습니다.,388.74,3
06:29.040,06:31.040,"다만 이런 식으로 접근한다고 하더라도,",391.04,3
06:31.120,06:36.340,"여전히 이 소스 문장을 하나의 벡터에 압축해야 된다는 점은 동일하기 때문에,",396.34,3
06:36.460,06:38.240,병목 현상은 여전히 발생합니다.,398.24,3
06:38.440,06:40.040,"즉 현재의 문제 상황이라고 한다면,",400.04,4
06:40.220,06:42.680,"하나의 문맥 벡터, 즉 컨텍스트 벡터가,",402.68,4
06:42.760,06:45.000,"소스 문장의 모든 정보를 가지고 있어서,",405.0,4
06:45.000,06:47.240,성능이 저하될 수 있다는 것입니다.,407.24,4
06:47.420,06:49.540,"그렇다면 디코더 파트에서는,",409.54,4
06:49.700,06:52.840,"하나의 문맥 벡터에 대한 정보만 가지고 있는 게 아니라,",412.84,4
06:53.020,06:54.560,"출력 단어를 만들 때마다,",414.56,4
06:54.720,06:59.440,매번 소스 문장에서의 출력 값들 전부를 입력으로 받으면 어떨까요?,419.44,4
06:59.540,07:01.280,라는 아이디어가 나올 수 있는 거죠.,421.28,4
07:01.440,07:05.540,"최신 GPU는 많은 메모리와 그리고 빠른 병렬 처리를 지원하기 때문에,",425.54,4
07:05.760,07:08.520,"소스 문장의 시퀀스 길이가 길다고 하더라도,",428.52,4
07:08.660,07:12.840,"그러한 소스 문장을 구성하는 각각의 단어에 대한 출력 값들 전부를,",432.84,4
07:12.920,07:14.780,"특정 행렬에다가 기록해 놓았다가,",434.78,4
07:14.780,07:19.660,"소스 문장에 대한 전반적인 내용들을 매번 출력할 때마다 반영할 수 있기 때문에,",439.66,4
07:19.720,07:22.160,성능이 좋아질 것을 기대할 수 있습니다.,442.16,4
07:22.380,07:26.720,"다시 말해, 하나의 고정된 크기의 컨텍스트 벡터에 담지 말고,",446.72,4
07:26.880,07:31.380,"그냥 소스 문장에서 나왔던 출력 값들 전부를 매번 입력으로 받아서,",451.38,4
07:31.540,07:34.960,"일련의 처리 과정을 거쳐서 출력 단어를 만들도록 하면,",454.96,4
07:35.080,07:36.960,성능이 더 좋아질 수 있다는 겁니다.,456.96,4
07:37.200,07:38.960,"지금 보이는 아키텍처가 바로,",458.96,5
07:39.140,07:43.020,시퀀스 시퀀스에 어텐션 메커니즘을 적용한 아키텍처인데요.,463.02,5
07:43.260,07:44.760,"이렇게 어텐션 메커니즘을,",464.76,5
07:44.780,07:49.000,적용해서 인코더 파트의 모든 출력을 참고하도록 만들 수가 있습니다.,469.0,5
07:49.220,07:51.720,"실제로 파이톨치와 같은 프레임워크에서는,",471.72,5
07:51.860,07:55.280,"단순히 RNN이나 LSTM 같은 걸 사용하도록 만들면,",475.28,5
07:55.360,07:59.700,"이렇게 매번 전체 시퀀스 기기에 맞는 아웃풋 값들이 따로,",479.7,5
07:59.700,08:01.080,출력 값들이 나오게 되는데요.,481.08,5
08:01.280,08:05.780,이제 그걸 그대로 이용해서 실제로 어텐션 메커니즘을 간단하게 구현할 수도 있습니다.,485.78,5
08:06.020,08:07.460,"전반적인 내용을 확인해 보시면,",487.46,5
08:07.680,08:11.160,"이렇게 매번 단어가 출력돼서 히든스테이트가 나올 때마다,",491.16,5
08:11.200,08:13.740,"그냥 이 값들을 전부 다 출력 값으로써,",493.74,5
08:13.740,08:16.520,그냥 별도의 배열에다가 다 기록해 놓습니다.,496.52,5
08:16.720,08:19.300,"그래서 이런 식으로 각각의 단어를 거치면서,",499.3,5
08:19.340,08:22.640,갱신되는 히든스테이트 값들을 매번 다 가지고 있는 거예요.,502.64,5
08:22.740,08:23.780,"이렇게 해 줌으로써,",503.78,5
08:23.800,08:27.420,"이렇게 매 단어가 들어왔을 때의 히든스테이트 값을,",507.42,5
08:27.460,08:29.580,"전부 가지고 있을 수 있기 때문에,",509.58,5
08:29.760,08:32.380,"이러한 값들을 어떻게든 참고해서,",512.38,5
08:32.540,08:35.000,"이렇게 출력 단어가 매번 생성될 때마다,",515.0,5
08:35.160,08:39.480,이러한 소스 문장 전체를 반영하겠다라는 아이디어라고 보시면 되겠습니다.,519.48,5
08:39.800,08:42.680,"실제로는 이렇게 디코더 파트에서 매번,",522.68,5
